Alter;Geschlecht;Einkommen;Internet_Affinit‰t;Dating_App;Partnersuche;Wohngegend
41;m;127033;9;no;yes;Kleinstadt
40;w;142774;9;no;yes;Kleinstadt
39;m;132819;9;no;yes;Dorf
40;w;198736;8;no;yes;Kleinstadt
39;w;134511;9;no;yes;Kleinstadt
41;w;155231;9;no;yes;Dorf
40;w;167468;8;no;yes;Dorf
39;w;152283;9;yes;yes;Dorf
39;w;126759;9;no;yes;Dorf
40;w;193568;10;no;yes;Land
39;w;129123;9;no;yes;Dorf
40;w;168186;9;no;yes;Dorf
39;w;137880;9;no;yes;Vorstadt
39;w;200369;8;no;yes;Dorf
39;w;172173;8;no;yes;Dorf
41;w;159403;9;no;yes;Kleinstadt
41;w;158052;8;no;yes;Dorf
41;w;159043;8;no;yes;Kleinstadt
40;m;155982;9;no;yes;Dorf
40;w;125882;10;no;yes;Vorstadt
39;w;163910;9;no;yes;Dorf
39;w;134373;9;yes;yes;Dorf
40;w;150459;9;no;yes;Dorf
38;w;139278;8;no;yes;Dorf
40;w;178172;8;no;yes;Dorf
39;w;174193;9;no;yes;Dorf
38;w;139041;9;no;yes;Groﬂstadt
42;w;163374;9;no;yes;Kleinstadt
41;w;134881;9;no;yes;Dorf
40;w;125590;10;no;yes;Dorf
41;w;135013;9;no;yes;Dorf
42;w;173041;9;no;yes;Dorf
42;w;188399;9;no;yes;Dorf
41;w;170406;9;no;yes;Dorf
41;w;145988;9;no;yes;Dorf
40;w;161241;9;no;yes;Dorf
40;w;111909;8;yes;yes;Dorf
39;m;116785;8;no;yes;Dorf
40;w;142445;9;no;yes;Dorf
41;w;119683;9;yes;yes;Dorf
40;w;176738;9;yes;yes;Vorstadt
40;w;144247;10;no;yes;Dorf
41;w;153065;8;yes;no;Dorf
39;w;122078;9;no;yes;Kleinstadt
40;w;142193;9;no;yes;Dorf
40;w;135203;9;yes;yes;Dorf
40;w;167215;8;no;yes;Dorf
39;w;148320;8;no;yes;Dorf
40;w;139843;9;no;no;Land
42;w;148909;10;no;yes;Dorf
40;m;133585;9;no;yes;Dorf
40;w;150051;8;no;yes;Kleinstadt
41;w;115643;9;no;yes;Vorstadt
39;w;160023;9;yes;yes;Land
41;w;163464;9;no;yes;Dorf
41;w;139262;10;no;yes;Dorf
41;w;158725;10;no;yes;Dorf
41;w;135562;8;no;yes;Dorf
38;w;137006;9;yes;yes;Dorf
40;w;134957;9;yes;yes;Dorf
41;w;143693;9;no;yes;Vorstadt
40;w;135310;9;no;yes;Dorf
38;m;155645;9;no;yes;Dorf
39;w;149858;9;no;yes;Dorf
41;w;143564;9;no;yes;Dorf
40;w;132338;8;no;yes;Dorf
40;w;171320;10;yes;yes;Dorf
41;w;125961;8;yes;yes;Dorf
39;w;142010;9;no;yes;Dorf
40;w;134174;10;no;yes;Land
40;w;177663;9;no;yes;Dorf
40;w;137469;9;yes;yes;Dorf
40;m;165041;8;no;yes;Land
39;w;164689;9;no;yes;Dorf
39;m;123599;9;no;no;Dorf
40;w;116374;10;no;yes;Dorf
40;w;144768;9;no;yes;Dorf
40;w;149190;9;no;yes;Dorf
40;w;152031;9;no;yes;Dorf
39;w;154687;9;no;yes;Dorf
41;w;133688;9;yes;yes;Dorf
39;w;160622;9;no;yes;Dorf
39;m;142063;8;no;yes;Kleinstadt
40;w;136302;9;no;yes;Dorf
40;w;150052;9;no;no;Dorf
41;w;134468;8;no;yes;Land
39;w;156912;8;no;yes;Land
39;w;132702;9;yes;yes;Land
41;w;130860;9;no;yes;Kleinstadt
39;w;132783;8;no;yes;Dorf
40;w;130768;9;no;yes;Dorf
39;w;130398;9;no;yes;Dorf
39;w;136330;9;no;yes;Dorf
41;w;125553;10;no;yes;Dorf
40;m;153882;9;no;yes;Dorf
41;w;138859;9;no;no;Land
39;w;129099;9;no;no;Dorf
40;w;164609;10;yes;yes;Dorf
40;w;161189;9;no;yes;Dorf
40;w;145494;8;no;yes;Vorstadt
39;w;179805;9;yes;no;Dorf
40;w;143528;9;no;yes;Dorf
39;w;126952;9;yes;yes;Dorf
40;w;150552;9;no;yes;Dorf
39;w;162214;9;no;yes;Dorf
41;w;165196;8;no;yes;Dorf
40;m;155092;10;no;yes;Land
40;w;112943;9;no;yes;Dorf
41;w;139128;9;no;yes;Dorf
40;w;147486;9;no;yes;Dorf
42;w;153528;9;no;yes;Dorf
40;w;165903;8;no;no;Dorf
41;w;138945;9;no;yes;Dorf
40;w;149839;9;no;yes;Dorf
40;w;136837;8;no;yes;Dorf
39;m;150089;9;no;yes;Groﬂstadt
40;w;124297;9;no;yes;Dorf
40;w;161763;9;no;yes;Dorf
39;w;166582;9;no;yes;Dorf
41;w;184107;9;no;yes;Dorf
39;w;186189;9;no;yes;Dorf
40;w;150425;11;no;yes;Groﬂstadt
40;w;157733;9;no;no;Dorf
39;w;172078;10;no;yes;Vorstadt
39;w;150281;9;no;yes;Dorf
39;w;160817;9;no;yes;Dorf
42;w;157827;8;no;yes;Land
39;w;159356;9;no;yes;Dorf
40;w;191977;9;no;yes;Land
41;w;155854;9;no;yes;Kleinstadt
41;m;153693;10;no;yes;Dorf
42;w;120824;9;no;yes;Dorf
39;w;145513;9;no;yes;Dorf
39;m;113944;9;no;yes;Vorstadt
41;w;127913;9;no;yes;Kleinstadt
41;w;168651;9;yes;yes;Dorf
40;w;164048;8;no;yes;Dorf
39;w;146463;10;no;yes;Land
39;w;136514;10;yes;yes;Dorf
41;w;201951;9;no;yes;Dorf
40;w;178734;9;no;yes;Dorf
41;w;159680;8;no;yes;Dorf
41;w;124836;8;no;yes;Dorf
41;w;149016;8;no;no;Dorf
41;m;119427;9;yes;yes;Dorf
40;w;135987;9;no;yes;Dorf
38;w;183222;9;no;yes;Dorf
41;w;184527;9;no;yes;Kleinstadt
41;w;169215;9;no;yes;Dorf
41;w;135947;9;no;no;Dorf
41;w;125321;9;no;yes;Kleinstadt
41;w;160978;9;no;yes;Dorf
40;w;161003;8;no;yes;Dorf
40;w;155988;9;no;yes;Dorf
38;w;168750;9;no;yes;Vorstadt
40;w;130832;10;no;yes;Dorf
40;w;145394;9;no;yes;Dorf
40;w;168042;8;yes;no;Dorf
40;w;158980;9;no;yes;Dorf
42;w;150828;10;no;yes;Dorf
39;w;157270;8;no;yes;Dorf
39;w;139568;9;no;yes;Land
39;w;153554;9;yes;yes;Land
41;w;135241;9;no;yes;Dorf
42;w;148467;9;no;yes;Dorf
40;w;170141;9;no;yes;Dorf
40;w;183322;9;no;yes;Dorf
40;w;155825;9;yes;yes;Dorf
41;w;134571;8;no;yes;Dorf
40;w;134791;9;no;yes;Dorf
43;w;96425;9;no;yes;Land
40;w;149348;8;no;yes;Dorf
40;w;144121;9;no;yes;Dorf
40;w;125604;9;no;yes;Dorf
40;w;142830;9;yes;yes;Dorf
40;w;129686;8;no;yes;Land
40;w;168417;9;no;yes;Dorf
40;w;157880;9;no;yes;Dorf
41;w;136454;8;no;yes;Dorf
41;w;192685;9;no;yes;Land
40;w;141814;8;no;yes;Kleinstadt
41;w;144817;9;no;no;Dorf
40;w;160359;9;no;yes;Land
39;w;137461;10;no;yes;Kleinstadt
41;w;155486;10;yes;yes;Dorf
39;w;136883;9;no;yes;Dorf
40;w;86506;8;no;yes;Dorf
39;w;172640;9;no;yes;Dorf
42;w;168313;10;no;yes;Kleinstadt
41;w;138641;10;no;no;Dorf
39;w;177665;9;no;yes;Dorf
41;w;141302;9;no;yes;Dorf
40;w;166297;9;no;no;Land
38;w;152647;9;no;yes;Dorf
40;w;124482;9;no;yes;Dorf
39;w;122991;9;no;yes;Dorf
39;w;143481;8;no;yes;Kleinstadt
39;w;157935;9;yes;yes;Dorf
41;w;165044;9;no;yes;Dorf
40;w;156374;9;no;no;Dorf
40;w;149289;9;no;yes;Dorf
39;m;151067;9;no;yes;Dorf
40;w;123151;9;no;yes;Dorf
40;w;136320;9;no;yes;Kleinstadt
40;w;159330;9;yes;yes;Dorf
40;w;137035;9;no;no;Dorf
39;w;160463;9;no;yes;Dorf
42;w;170729;9;no;yes;Dorf
41;w;172437;9;no;yes;Dorf
40;w;129800;9;no;yes;Dorf
39;w;141299;9;no;yes;Dorf
41;w;134435;9;no;yes;Land
40;w;121669;9;no;yes;Dorf
39;w;153659;9;no;yes;Dorf
38;m;141982;10;yes;yes;Dorf
38;w;132348;9;no;yes;Land
42;w;165628;8;no;no;Dorf
40;w;127664;9;no;yes;Kleinstadt
40;w;121796;9;no;yes;Dorf
40;w;171097;9;no;no;Dorf
40;w;159949;8;yes;yes;Dorf
40;w;136015;8;no;yes;Dorf
39;w;130516;9;no;yes;Dorf
38;w;145990;9;no;yes;Dorf
40;w;139995;8;no;yes;Dorf
38;w;154337;9;yes;yes;Dorf
39;w;127836;8;no;yes;Dorf
39;w;153609;10;no;yes;Dorf
38;w;120288;9;no;yes;Dorf
41;w;132615;8;no;yes;Land
41;w;169929;9;no;yes;Dorf
42;w;140918;9;yes;yes;Dorf
40;w;144848;9;no;yes;Dorf
42;w;138512;9;no;yes;Dorf
41;w;136000;8;no;yes;Dorf
43;w;134822;9;no;yes;Dorf
40;w;150545;9;no;yes;Land
40;w;191468;10;no;yes;Land
39;w;144360;10;no;yes;Land
40;w;165675;9;no;yes;Dorf
40;w;146688;9;no;yes;Dorf
41;w;143769;9;yes;yes;Dorf
38;w;127803;8;no;yes;Dorf
41;w;129086;9;no;yes;Dorf
40;w;164515;9;no;yes;Dorf
40;w;128246;9;no;no;Dorf
38;w;126101;10;no;yes;Dorf
41;w;120345;9;no;yes;Dorf
39;w;159052;9;no;yes;Dorf
40;w;175816;10;no;yes;Dorf
22;m;17083;11;no;yes;Groﬂstadt
21;m;11652;11;no;yes;Groﬂstadt
23;m;15773;11;no;yes;Kleinstadt
23;m;21489;11;no;yes;Groﬂstadt
23;m;13120;11;yes;yes;Kleinstadt
22;m;10611;11;no;yes;Groﬂstadt
21;m;16073;11;no;yes;Groﬂstadt
21;m;8820;11;no;yes;Groﬂstadt
23;m;10499;11;no;yes;Groﬂstadt
23;m;21695;11;no;no;Groﬂstadt
22;m;22808;11;no;yes;Groﬂstadt
20;m;26536;11;no;yes;Groﬂstadt
24;m;13364;11;yes;no;Kleinstadt
23;m;19739;11;yes;yes;Groﬂstadt
21;m;17933;11;no;no;Groﬂstadt
23;m;16038;11;no;yes;Groﬂstadt
22;m;25852;11;no;yes;Groﬂstadt
22;m;15701;11;yes;yes;Groﬂstadt
23;m;17142;11;no;no;Dorf
22;m;12774;11;no;yes;Groﬂstadt
20;m;41634;11;no;yes;Land
21;m;9688;11;yes;yes;Groﬂstadt
24;w;19195;11;no;yes;Land
21;m;15714;11;no;yes;Vorstadt
23;m;20568;11;yes;yes;Land
22;m;21361;11;no;yes;Groﬂstadt
20;m;22758;11;no;yes;Land
22;w;38163;11;no;yes;Groﬂstadt
21;w;15035;11;no;yes;Land
22;m;36632;11;no;yes;Dorf
22;m;23935;11;no;yes;Groﬂstadt
